test,time,result
Wronglock3Bad, 2.0055911540985107,success
Wronglock3Bad, 1.4581408500671387,success
Wronglock3Bad, 1.479562520980835,success
Wronglock3Bad, 1.7037041187286377,success
Wronglock3Bad, 1.7092459201812744,success
Wronglock3Bad, 1.394991397857666,success
Wronglock3Bad, 1.4612195491790771,success
Wronglock3Bad, 1.4448933601379395,success
Wronglock3Bad, 1.4493262767791748,success
Wronglock3Bad, 1.4843864440917969,success
Wronglock3Bad, 1.5598101615905762,success
Wronglock3Bad, 1.5454449653625488,success
Wronglock3Bad, 1.5663306713104248,success
Wronglock3Bad, 1.450425148010254,success
Wronglock3Bad, 1.7125861644744873,success
Wronglock3Bad, 1.4554483890533447,success
Wronglock3Bad, 1.5469510555267334,success
Wronglock3Bad, 1.5052955150604248,success
Wronglock3Bad, 1.486600637435913,success
Wronglock3Bad, 1.590322732925415,success
Wronglock3Bad, 1.4840788841247559,success
Wronglock3Bad, 1.451153039932251,success
Wronglock3Bad, 1.637033224105835,success
Wronglock3Bad, 1.6292121410369873,success
Wronglock3Bad, 1.7196049690246582,success
Wronglock3Bad, 1.5168242454528809,success
Wronglock3Bad, 1.6307644844055176,success
Wronglock3Bad, 1.5193092823028564,success
Wronglock3Bad, 1.6856768131256104,success
Wronglock3Bad, 1.624453067779541,success
Wronglock3Bad, 1.5547027587890625,success
Wronglock3Bad, 1.6427860260009766,success
Wronglock3Bad, 1.5213282108306885,success
Wronglock3Bad, 1.5615293979644775,success
Wronglock3Bad, 1.4787187576293945,success
Wronglock3Bad, 1.7298650741577148,success
Wronglock3Bad, 1.9028847217559814,success
Wronglock3Bad, 1.766150712966919,success
Wronglock3Bad, 1.5753231048583984,success
Wronglock3Bad, 1.4276959896087646,success
Wronglock3Bad, 1.6153080463409424,success
Wronglock3Bad, 1.6902132034301758,success
Wronglock3Bad, 1.5138401985168457,success
Wronglock3Bad, 1.764855146408081,success
Wronglock3Bad, 1.9554970264434814,success
Wronglock3Bad, 1.5756983757019043,success
Wronglock3Bad, 1.60101318359375,success
Wronglock3Bad, 1.4970052242279053,success
Wronglock3Bad, 1.535146713256836,success
Wronglock3Bad, 1.4102821350097656,success
Wronglock3Bad, 1.5274794101715088,success
Wronglock3Bad, 1.462573766708374,success
Wronglock3Bad, 1.5073423385620117,success
Wronglock3Bad, 1.4235455989837646,success
Wronglock3Bad, 1.7972424030303955,success
Wronglock3Bad, 1.467583179473877,success
Wronglock3Bad, 1.3895454406738281,success
Wronglock3Bad, 1.6763365268707275,success
Wronglock3Bad, 1.4556260108947754,success
Wronglock3Bad, 1.410360336303711,success
Wronglock3Bad, 1.4665038585662842,success
Wronglock3Bad, 1.6937530040740967,success
Wronglock3Bad, 1.6858100891113281,success
Wronglock3Bad, 1.6922802925109863,success
Wronglock3Bad, 1.47892427444458,success
Wronglock3Bad, 1.3842158317565918,success
Wronglock3Bad, 1.7289817333221436,success
Wronglock3Bad, 1.5306529998779297,success
Wronglock3Bad, 1.5672950744628906,success
Wronglock3Bad, 1.4342923164367676,success
Wronglock3Bad, 1.5504956245422363,success
Wronglock3Bad, 1.565979242324829,success
Wronglock3Bad, 1.5813922882080078,success
Wronglock3Bad, 1.6051530838012695,success
Wronglock3Bad, 1.9939789772033691,success
Wronglock3Bad, 1.4967644214630127,success
Wronglock3Bad, 1.573157787322998,success
Wronglock3Bad, 1.5026261806488037,success
Wronglock3Bad, 1.3410296440124512,success
Wronglock3Bad, 1.9654076099395752,success
Wronglock3Bad, 1.5776007175445557,success
Wronglock3Bad, 1.5926365852355957,success
Wronglock3Bad, 1.530590534210205,success
Wronglock3Bad, 1.7398078441619873,success
Wronglock3Bad, 1.6253657341003418,success
Wronglock3Bad, 1.4257407188415527,success
Wronglock3Bad, 1.4427180290222168,success
Wronglock3Bad, 1.3861947059631348,success
Wronglock3Bad, 1.5514214038848877,success
Wronglock3Bad, 1.5301434993743896,success
Wronglock3Bad, 1.6348130702972412,success
Wronglock3Bad, 1.6889808177947998,success
Wronglock3Bad, 1.6125216484069824,success
Wronglock3Bad, 1.485952377319336,success
Wronglock3Bad, 1.4566254615783691,success
Wronglock3Bad, 1.6628813743591309,success
Wronglock3Bad, 1.5806477069854736,success
Wronglock3Bad, 1.4192681312561035,success
Wronglock3Bad, 1.4877920150756836,success
Wronglock3Bad, 1.4786162376403809,success
Wronglock3Bad, 1.4420745372772217,success
Wronglock3Bad, 1.5332481861114502,success
Wronglock3Bad, 1.5979952812194824,success
Wronglock3Bad, 1.4302270412445068,success
Wronglock3Bad, 1.3901989459991455,success
Wronglock3Bad, 1.6430609226226807,success
Wronglock3Bad, 1.4699652194976807,success
Wronglock3Bad, 1.4955477714538574,success
Wronglock3Bad, 1.5033109188079834,success
Wronglock3Bad, 1.4627690315246582,success
Wronglock3Bad, 1.5611426830291748,success
Wronglock3Bad, 1.4802796840667725,success
Wronglock3Bad, 1.5230443477630615,success
Wronglock3Bad, 1.5089850425720215,success
Wronglock3Bad, 1.436112642288208,success
Wronglock3Bad, 1.5978963375091553,success
Wronglock3Bad, 1.6006929874420166,success
Wronglock3Bad, 1.7900631427764893,success
Wronglock3Bad, 1.6388261318206787,success
Wronglock3Bad, 1.5615308284759521,success
Wronglock3Bad, 1.6168203353881836,success
Wronglock3Bad, 1.4802663326263428,success
Wronglock3Bad, 1.5512065887451172,success
Wronglock3Bad, 1.4244358539581299,success
Wronglock3Bad, 1.5143065452575684,success
Wronglock3Bad, 1.434476375579834,success
Wronglock3Bad, 1.477489709854126,success
Wronglock3Bad, 1.457808256149292,success
Wronglock3Bad, 1.5799498558044434,success
Wronglock3Bad, 1.618356704711914,success
Wronglock3Bad, 1.6970841884613037,success
Wronglock3Bad, 1.5309312343597412,success
Wronglock3Bad, 1.609384298324585,success
Wronglock3Bad, 1.4642512798309326,success
Wronglock3Bad, 1.5458471775054932,success
Wronglock3Bad, 1.718195915222168,success
Wronglock3Bad, 1.7045040130615234,success
Wronglock3Bad, 1.5174248218536377,success
Wronglock3Bad, 1.5025608539581299,success
Wronglock3Bad, 1.52213716506958,success
Wronglock3Bad, 1.520941972732544,success
Wronglock3Bad, 1.437438726425171,success
Wronglock3Bad, 1.5672087669372559,success
Wronglock3Bad, 1.5482769012451172,success
Wronglock3Bad, 1.409999132156372,success
Wronglock3Bad, 1.7434909343719482,success
Wronglock3Bad, 1.3552227020263672,success
Wronglock3Bad, 1.5576462745666504,success
Wronglock3Bad, 1.528505802154541,success
Wronglock3Bad, 1.414902925491333,success
Wronglock3Bad, 1.5344016551971436,success
Wronglock3Bad, 1.5154902935028076,success
Wronglock3Bad, 1.494844913482666,success
Wronglock3Bad, 1.6951682567596436,success
Wronglock3Bad, 1.6876835823059082,success
Wronglock3Bad, 1.671903133392334,success
Wronglock3Bad, 1.430321455001831,success
Wronglock3Bad, 1.9810020923614502,success
Wronglock3Bad, 1.6454441547393799,success
Wronglock3Bad, 1.5635638236999512,success
Wronglock3Bad, 1.7216606140136719,success
Wronglock3Bad, 1.7452268600463867,success
Wronglock3Bad, 1.3766889572143555,success
Wronglock3Bad, 1.6411004066467285,success
Wronglock3Bad, 1.4483401775360107,success
Wronglock3Bad, 1.4899325370788574,success
Wronglock3Bad, 1.773153305053711,success
Wronglock3Bad, 1.4775543212890625,success
Wronglock3Bad, 1.399991750717163,success
Wronglock3Bad, 1.5123193264007568,success
Wronglock3Bad, 1.4717252254486084,success
Wronglock3Bad, 1.6043765544891357,success
Wronglock3Bad, 1.7295703887939453,success
Wronglock3Bad, 1.5498263835906982,success
Wronglock3Bad, 1.4154682159423828,success
StackBad, 1.922501564025879,success
StackBad, 2.03378963470459,success
StackBad, 1.896869421005249,success
StackBad, 1.5371711254119873,success
StackBad, 3.024351119995117,success
StackBad, 1.9201960563659668,success
StackBad, 1.248748540878296,success
StackBad, 2.149442672729492,success
StackBad, 1.3237125873565674,success
StackBad, 1.5999431610107422,success
StackBad, 2.109822988510132,success
StackBad, 1.6948633193969727,success
StackBad, 2.849017381668091,success
StackBad, 1.5767948627471924,success
StackBad, 1.4089245796203613,success
StackBad, 2.863203525543213,success
StackBad, 1.422029733657837,success
StackBad, 1.1499531269073486,success
StackBad, 1.5968389511108398,success
StackBad, 1.5883967876434326,success
StackBad, 1.692049264907837,success
StackBad, 1.2541956901550293,success
StackBad, 2.4132373332977295,success
StackBad, 1.5638554096221924,success
StackBad, 1.7613632678985596,success
StackBad, 1.5936627388000488,success
StackBad, 1.0516784191131592,success
StackBad, 1.321570873260498,success
StackBad, 1.9634387493133545,success
StackBad, 1.2903738021850586,success
StackBad, 1.9425458908081055,success
StackBad, 1.3918602466583252,success
StackBad, 1.4624388217926025,success
StackBad, 2.00399112701416,success
StackBad, 2.1030972003936768,success
StackBad, 1.9352099895477295,success
StackBad, 1.556473970413208,success
StackBad, 1.535292148590088,success
StackBad, 1.8563446998596191,success
StackBad, 2.4853737354278564,success
StackBad, 1.284590244293213,success
StackBad, 1.784473180770874,success
StackBad, 2.3568310737609863,success
StackBad, 1.119481086730957,success
StackBad, 2.3142096996307373,success
StackBad, 1.635162115097046,success
StackBad, 2.4417378902435303,success
StackBad, 2.4611947536468506,success
StackBad, 1.449336290359497,success
StackBad, 2.8859262466430664,success
StackBad, 3.3233165740966797,success
StackBad, 2.552640914916992,success
StackBad, 1.5514521598815918,success
StackBad, 2.0353753566741943,success
StackBad, 1.7081530094146729,success
StackBad, 2.1989126205444336,success
StackBad, 1.8935790061950684,success
StackBad, 1.7496249675750732,success
StackBad, 1.2347917556762695,success
StackBad, 1.5636155605316162,success
StackBad, 1.7053806781768799,success
StackBad, 1.4431777000427246,success
StackBad, 1.9557464122772217,success
StackBad, 1.750619888305664,success
StackBad, 1.4016029834747314,success
StackBad, 1.5299303531646729,success
StackBad, 1.628917932510376,success
StackBad, 1.6969716548919678,success
StackBad, 2.333054304122925,success
StackBad, 1.6057071685791016,success
StackBad, 2.154878616333008,success
StackBad, 1.471830129623413,success
StackBad, 1.5291392803192139,success
StackBad, 2.2598154544830322,success
StackBad, 1.5195178985595703,success
StackBad, 1.5958526134490967,success
StackBad, 1.5369837284088135,success
StackBad, 1.5045957565307617,success
StackBad, 2.1990933418273926,success
StackBad, 1.5921409130096436,success
StackBad, 1.4462931156158447,success
StackBad, 2.4762179851531982,success
StackBad, 1.3772203922271729,success
StackBad, 1.7036628723144531,success
StackBad, 2.154395580291748,success
StackBad, 1.579850673675537,success
StackBad, 2.466055154800415,success
StackBad, 1.116523265838623,success
StackBad, 1.7309975624084473,success
StackBad, 2.0905115604400635,success
StackBad, 1.232823133468628,success
StackBad, 2.291963577270508,success
StackBad, 2.431662082672119,success
StackBad, 1.9911839962005615,success
StackBad, 2.23319673538208,success
StackBad, 1.4683551788330078,success
StackBad, 1.4955418109893799,success
StackBad, 2.6268320083618164,success
StackBad, 1.8232452869415283,success
StackBad, 2.0357930660247803,success
StackBad, 2.461979866027832,success
StackBad, 2.1964824199676514,success
StackBad, 2.165585517883301,success
StackBad, 2.247063636779785,success
StackBad, 1.6260974407196045,success
StackBad, 1.8625037670135498,success
StackBad, 1.9247169494628906,success
StackBad, 1.225440263748169,success
StackBad, 1.9917380809783936,success
StackBad, 1.1211748123168945,success
StackBad, 1.7598609924316406,success
StackBad, 2.000555992126465,success
StackBad, 1.427844524383545,success
StackBad, 2.1684012413024902,success
StackBad, 1.2284622192382812,success
StackBad, 1.1743931770324707,success
StackBad, 1.8464293479919434,success
StackBad, 2.8861348628997803,success
StackBad, 1.5859487056732178,success
StackBad, 1.7394883632659912,success
StackBad, 2.3461289405822754,success
StackBad, 1.719419240951538,success
StackBad, 1.9427201747894287,success
StackBad, 1.3772799968719482,success
StackBad, 1.6927392482757568,success
StackBad, 1.861835241317749,success
StackBad, 2.3369083404541016,success
StackBad, 1.9497311115264893,success
StackBad, 2.148623466491699,success
StackBad, 1.3975138664245605,success
StackBad, 1.8524975776672363,success
StackBad, 1.6545438766479492,success
StackBad, 1.4423677921295166,success
StackBad, 1.4354288578033447,success
StackBad, 2.0806453227996826,success
StackBad, 2.2122690677642822,success
StackBad, 1.9358296394348145,success
StackBad, 1.5305836200714111,success
StackBad, 1.4280109405517578,success
StackBad, 1.768566370010376,success
StackBad, 1.07564377784729,success
StackBad, 2.9839606285095215,success
StackBad, 1.8492100238800049,success
StackBad, 1.158064365386963,success
StackBad, 2.429929256439209,success
StackBad, 1.555880069732666,success
StackBad, 2.3843142986297607,success
StackBad, 1.9466187953948975,success
StackBad, 3.403560161590576,success
StackBad, 1.7845516204833984,success
StackBad, 1.0711677074432373,success
StackBad, 3.62558913230896,success
StackBad, 1.111330270767212,success
StackBad, 1.9328539371490479,success
StackBad, 1.939321756362915,success
StackBad, 1.4819152355194092,success
StackBad, 1.904477596282959,success
StackBad, 1.7767412662506104,success
StackBad, 1.2993369102478027,success
StackBad, 2.92069935798645,success
StackBad, 1.9554409980773926,success
StackBad, 1.1594054698944092,success
StackBad, 1.8400988578796387,success
StackBad, 1.2259447574615479,success
StackBad, 1.346707820892334,success
StackBad, 1.6897847652435303,success
StackBad, 1.2233383655548096,success
StackBad, 2.59995698928833,success
StackBad, 1.0675978660583496,success
StackBad, 1.530874490737915,success
StackBad, 1.687140941619873,success
StackBad, 1.500816822052002,success
StackBad, 1.4107062816619873,success
StackBad, 1.2721843719482422,success
StackBad, 1.881443977355957,success
